checkpoint,loss,epoch,seed
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/42/checkpoint-265,60.291796499873826,1,42
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/43/checkpoint-265,52.383779383619945,1,43
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/44/checkpoint-265,57.131370256872614,1,44
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/45/checkpoint-265,61.756514456453694,1,45
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/46/checkpoint-265,56.62189687173005,1,46
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/42/checkpoint-530,45.72292441942679,2,42
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/43/checkpoint-530,47.91492748251388,2,43
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/44/checkpoint-530,57.978603402022195,2,44
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/45/checkpoint-530,46.6721108796788,2,45
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/46/checkpoint-530,57.470414040539275,2,46
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/42/checkpoint-795,14.562031178078117,3,42
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/43/checkpoint-795,41.05383033485102,3,43
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/44/checkpoint-795,55.348766676862816,3,44
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/45/checkpoint-795,54.41883708150101,3,45
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/46/checkpoint-795,36.124244901427595,3,46
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/42/checkpoint-1060,8.659601095389068,4,42
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/43/checkpoint-1060,24.879782436768917,4,43
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/44/checkpoint-1060,33.09529291452981,4,44
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/45/checkpoint-1060,20.33818240401631,4,45
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/46/checkpoint-1060,12.771890855623056,4,46
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/42/checkpoint-1325,0.5340919784403888,5,42
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/43/checkpoint-1325,4.057561809535182,5,43
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/44/checkpoint-1325,12.33645963003704,5,44
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/45/checkpoint-1325,12.766956229055618,5,45
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/46/checkpoint-1325,13.871479502217724,5,46
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/42/checkpoint-1590,2.144027157621481,6,42
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/43/checkpoint-1590,1.5265213695540578,6,43
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/44/checkpoint-1590,1.9278046226567087,6,44
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/45/checkpoint-1590,15.94155953455268,6,45
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/46/checkpoint-1590,4.075304525415726,6,46
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/42/checkpoint-1855,0.016748518923375064,7,42
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/43/checkpoint-1855,1.5803955878060287,7,43
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/44/checkpoint-1855,6.008026556841986,7,44
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/45/checkpoint-1855,1.1509085388372393,7,45
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/46/checkpoint-1855,1.2583218985751,7,46
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/42/checkpoint-2120,1.7385678936351496,8,42
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/43/checkpoint-2120,1.6124835406804185,8,43
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/44/checkpoint-2120,4.419784619811961,8,44
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/45/checkpoint-2120,1.4701878966127195,8,45
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/46/checkpoint-2120,0.05862410922693145,8,46
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/42/checkpoint-2385,1.8415006415668895,9,42
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/43/checkpoint-2385,0.006119681558146964,9,43
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/44/checkpoint-2385,1.4890675974261967,9,44
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/45/checkpoint-2385,13.70479857714898,9,45
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/46/checkpoint-2385,0.8066478113946928,9,46
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/42/checkpoint-2650,1.7976774205892971,10,42
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/43/checkpoint-2650,0.0006838301611542338,10,43
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/44/checkpoint-2650,7.183680045735785,10,44
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/45/checkpoint-2650,0.4265092137272787,10,45
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/46/checkpoint-2650,0.02511351990834811,10,46
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/42/checkpoint-2915,0.07583715152428111,11,42
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/43/checkpoint-2915,0.16153119109450714,11,43
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/44/checkpoint-2915,4.75304411575666,11,44
../../results/checkpoints_epoch/GPN_Brassicales/30_epochs/45/checkpoint-2915,0.3101370168664327,11,45
