915,"Monsanto","LIN S-5","USA","LIN S","41.8972","-71.4378","Kathleen Donohue","1999-01-01 0:00:00","CS77040","germany","","ltblu_circle"
932,"Monsanto","CHA-41","USA","CHA","42.3634","-71.1445","Kathleen Donohue","2002-06-13 0:00:00","CS76765","western_europe","","blu_circle"
991,"GMI","Ale-Stenar-41-1","SWE","Ales Stenar","55.3833","14.05","Jon Ågren","2001-01-01 0:00:00","CS76651","south_sweden","","red_circle"
992,"GMI","Ale-Stenar-44-4","SWE","Ales Stenar","55.3833","14.05","Jon Ågren","2001-01-01 0:00:00","CS76652","south_sweden","","red_circle"
997,"GMI","Ale-Stenar-56-14","SWE","Ales Stenar","55.3833","14.05","Jon Ågren","2001-01-01 0:00:00","CS76653","south_sweden","","red_circle"
1002,"GMI","Ale-Stenar-64-24","SWE","Ales Stenar","55.3833","14.05","Jon Ågren","2001-01-01 0:00:00","CS76654","south_sweden","","red_circle"
1006,"GMI","Ale-Stenar-77-31","SWE","Ales Stenar","55.3833","14.05","Jon Ågren","2001-01-01 0:00:00","CS77636","south_sweden","","red_circle"
1061,"GMI","Brösarp-11-135","SWE","Brösarp","55.7167","14.1333","Jon Ågren","2001-01-01 0:00:00","CS76727","south_sweden","","red_circle"
1062,"GMI","Brösarp-15-138","SWE","Brösarp","55.7167","14.1333","Jon Ågren","2001-01-01 0:00:00","CS76728","south_sweden","","red_circle"
1063,"GMI","Brösarp-21-140","SWE","Brösarp","55.7167","14.1333","Jon Ågren","2001-01-01 0:00:00","CS76729","south_sweden","","red_circle"
1066,"GMI","Brösarp-34-145","SWE","Brösarp","55.7167","14.1333","Jon Ågren","2001-01-01 0:00:00","CS76730","south_sweden","","red_circle"
1070,"GMI","Brösarp-45-153","SWE","Brösarp","55.7167","14.1333","Jon Ågren","2001-01-01 0:00:00","CS77643","south_sweden","","red_circle"
1158,"GMI","Aledal-6-49","SWE","Aledal","56.7","16.5167","Jon Ågren","2003-01-01 0:00:00","CS76656","south_sweden","","red_circle"
1166,"GMI","Aledal-14-73","SWE","Aledal","56.7","16.5167","Jon Ågren","2003-01-01 0:00:00","CS77651","south_sweden","","red_circle"
1254,"GMI","Tos-82-387","SWE","Tos","59.4333","17.0167","Jon Ågren","2001-01-01 0:00:00","CS77379","north_sweden","","orange_circle"
1257,"GMI","Tos-95-393","SWE","Tos","59.4333","17.0167","Jon Ågren","2001-01-01 0:00:00","CS77380","north_sweden","","orange_circle"
1313,"GMI","Ängsö-59-422","SWE","Ängsö","59.5667","16.8667","Jon Ågren","2001-01-01 0:00:00","CS77658","admixed","","forbidden"
1317,"GMI","Ängsö-74-430","SWE","Ängsö","59.5667","16.8667","Jon Ågren","2001-01-01 0:00:00","CS76665","admixed","","forbidden"
1552,"GMI","Sku-30","SWE","Sku","63.0833","18.3667","Jon Ågren","2003-01-01 0:00:00","CS77251","north_sweden","","orange_circle"
1612,"MPI","Brn-10","USA","Brn","41.9","-86.583","Diane Byers","2002-05-01 0:00:00","CS78962","germany","","ltblu_circle"
1622,"MPI","Brn-24","USA","Brn","41.9","-86.583","Diane Byers","2002-05-01 0:00:00","CS78963","germany","","ltblu_circle"
1651,"MPI","DuckLkSP38","USA","DuckLkSP","43.3431","-86.4045","Diane Byers","2004-06-04 0:00:00","CS78964","germany","","ltblu_circle"
1652,"MPI","DuckLkSP40","USA","DuckLkSP","43.3431","-86.4045","Diane Byers","2004-06-04 0:00:00","CS78965","germany","","ltblu_circle"
1676,"MPI","Haz-2","USA","Haz","41.879","-86.607","Diane Byers","2002-05-01 0:00:00","CS78966","germany","","ltblu_circle"
1684,"MPI","Haz-10","USA","Haz","41.879","-86.607","Diane Byers","2002-05-01 0:00:00","CS78967","germany","","ltblu_circle"
1739,"MPI","KBS-Mac-68","USA","KBS-Mackay","42.405","-85.398","Diane Byers","2004-05-29 0:00:00","CS78968","germany","","ltblu_circle"
1741,"MPI","KBS-Mac-74","USA","KBS-Mackay","42.405","-85.398","Diane Byers","2004-05-29 0:00:00","CS78969","germany","","ltblu_circle"
1756,"MPI","Ker-4","USA","Ker","42.184","-86.358","Diane Byers","2002-05-01 0:00:00","CS78970","germany","","ltblu_circle"
1757,"MPI","Ker-5","USA","Ker","42.184","-86.358","Diane Byers","2002-05-01 0:00:00","CS78971","germany","","ltblu_circle"
1793,"MPI","L-R-5","USA","L-R","41.847","-86.67","Diane Byers","2002-05-01 0:00:00","CS78972","germany","","ltblu_circle"
1797,"MPI","L-R-10","USA","L-R","41.847","-86.67","Diane Byers","2002-05-01 0:00:00","CS78973","germany","","ltblu_circle"
1819,"MPI","Lak-12","USA","Lak","41.8","-86.67","Diane Byers","2002-05-01 0:00:00","CS78974","germany","","ltblu_circle"
1820,"MPI","Lak-13","USA","Lak","41.8","-86.67","Diane Byers","2002-05-01 0:00:00","CS78975","germany","","ltblu_circle"
1829,"Monsanto","Mdn-1","USA","Mdn","42.051","-86.509","Diane Byers","2002-05-01 0:00:00","CS77077","germany","","ltblu_circle"
1834,"MPI","Mdn-8","USA","Mdn","42.051","-86.509","Diane Byers","2002-05-01 0:00:00","CS78976","germany","","ltblu_circle"
1835,"MPI","Mdn-10","USA","Mdn","42.051","-86.509","Diane Byers","2002-05-01 0:00:00","CS78977","germany","","ltblu_circle"
