track_name	track_url
DHS_Ath_flower_14_days	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_flower_14_days.bed
DHS_Ath_open_flower_normal	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_open_flower_normal.bed
DHS_Ath_inflorescence_normal	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_inflorescence_normal.bed
DHS_Ath_leaf_normal	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_leaf_normal.bed
DHS_Ath_root_normal	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_root_normal.bed
DHS_Ath_root_7_days	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_root_7_days.bed
DHS_Ath_root_hair_7_days	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_root_hair_7_days.bed
DHS_Ath_root_non_hair_7_days	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_root_non_hair_7_days.bed
DHS_Ath_root_non_hair_10_days	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_root_non_hair_10_days.bed
DHS_Ath_seed_coat_4_days_past_anthesis_rep1	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_seed_coat_4_days_past_anthesis_rep1.bed
DHS_Ath_seed_coat_4_days_past_anthesis_rep2	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_seed_coat_4_days_past_anthesis_rep2.bed
DHS_Ath_seed_coat_7_days_past_anthesis	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_seed_coat_7_days_past_anthesis.bed
DHS_Ath_seedling_normal	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_seedling_normal.bed
DHS_Ath_seedling_7_day_old_Control	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_seedling_7_day_old_Control.bed
DHS_Ath_seedling_7_day_old_Dark	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_seedling_7_day_old_Dark.bed
DHS_Ath_seedling_7_day_old_Dark_30min_light	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_seedling_7_day_old_Dark_30min_light.bed
DHS_Ath_seedling_7_day_old_Dark_3hr_light	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_seedling_7_day_old_Dark_3hr_light.bed
DHS_Ath_seedling_7_day_old_Dark_24hr	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_seedling_7_day_old_Dark_24hr.bed
DHS_Ath_seedling_7_day_old_Heat_Shock	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_seedling_7_day_old_Heat_Shock.bed
DHS_Ath_seedling_Bay-0_7_day_old	http://plantregmap.gao-lab.org/download_ftp.php?filepath=08-download/Arabidopsis_thaliana/DHS/DHS_Ath_seedling_Bay-0_7_day_old.bed
